DISTRICT,JAN,FEB,MAR,APR,MAY,JUN,JUL,AUG,SEP,OCT,NOV,DEC,ANNUAL_M,ANNUAL
ADILABAD,0.0041188,0.0038443,0.0062606,0.0065352,0.0099951,0.0979735,0.1743094,0.1601955,0.0941293,0.0455819,0.0081278,0.004009,0.6150804,615.0804
AGRA,0.0096106,0.0054369,0.0048877,0.0021967,0.0051074,0.0295458,0.1247185,0.1542644,0.068867,0.0154319,0.0027459,0.0025811,0.4253939,425.3939
AHMEDABAD,0.0004393,0.0001648,0.0002746,0.0003844,0.0032402,0.0499753,0.1182932,0.1047833,0.0578835,0.0104893,0.0045033,0.0009885,0.3514197,351.4197
AHMEDNAGAR,0.0003295,0.0007139,0.0016475,0.0029106,0.0118623,0.0576089,0.0559064,0.0504146,0.0763908,0.0405294,0.0123565,0.0041188,0.3147892,314.7892
AIZAWL,0.0075787,0.0171344,0.0592564,0.1020375,0.1929815,0.256851,0.2464166,0.2639903,0.2146741,0.139766,0.0358614,0.0090615,1.5456094,1545.6094
AJMER,0.002032,0.0010984,0.0011533,0.0012082,0.0048877,0.0239442,0.0939096,0.0851227,0.0329507,0.005327,0.0013729,0.0008238,0.2538305,253.8305
AKOLA,0.0047229,0.0029106,0.0048328,0.0024164,0.005327,0.0784777,0.1242792,0.1121973,0.0707343,0.0289967,0.0091713,0.0037344,0.4478006,447.8006
ALAPPUZHA,0.0096106,0.0153221,0.024768,0.07359,0.1640398,0.3256631,0.2927124,0.1884233,0.1520127,0.1828217,0.103026,0.0283376,1.5603273,1560.3273
ALIGARH,0.010709,0.0069197,0.0051623,0.0030754,0.0101049,0.0260311,0.11703,0.14383,0.0732056,0.021418,0.0023066,0.0036246,0.4234172,423.4172
ALIRAJPUR(JBA),0.0021418,0.0012082,0.0009336,0.0009336,0.0045582,0.0625515,0.1487177,0.141139,0.0863859,0.0169147,0.006041,0.0027459,0.4742711,474.2711
ALLAHABAD,0.0096106,0.0054918,0.0041738,0.001977,0.0036246,0.0450876,0.145807,0.1531111,0.1001153,0.0190016,0.0051623,0.0025262,0.4956889,495.6889
ALMORA,0.0253721,0.0257016,0.0260311,0.0140041,0.0256467,0.0726564,0.1646988,0.1520677,0.0819924,0.031413,0.0044483,0.0115328,0.635565,635.565
ALWAR,0.0052721,0.0056016,0.0030754,0.0030205,0.008677,0.0242737,0.1081333,0.1171399,0.0554122,0.0109836,0.0022516,0.0026361,0.346477,346.477
AMBALA,0.0213631,0.0173541,0.0138942,0.0042287,0.0112582,0.0577736,0.1690373,0.1790323,0.0975342,0.0188918,0.0048328,0.0114778,0.6066781,606.6781
AMBEDKAR NAGAR,0.0081278,0.006041,0.004668,0.0034049,0.0098303,0.0561261,0.1745291,0.1550881,0.1111538,0.022077,0.001977,0.0034598,0.5564829,556.4829
AMRAVATI,0.0055467,0.0034598,0.0042836,0.002032,0.0035147,0.0753474,0.1396013,0.1338898,0.0831457,0.0291065,0.0083475,0.0045582,0.4928332,492.8332
